ISO3,Country_Raw,Year,New_Infections,Predicted_Infections,EDI_Raw,ART_Coverage
ERI,ERI,2014.0,500.0,428.72274608379365,0.7398891061305816,52.0
ERI,ERI,2015.0,500.0,425.65427188284406,0.7771751744859144,59.0
ESP,ESP,2010.0,3500.0,3355.1087309416434,0.19618172734281092,65.0
ESP,ESP,2011.0,3500.0,3338.595951426332,0.2196174742901406,66.0
ESP,ESP,2012.0,3500.0,3302.56663519998,0.2715630305260844,69.0
ESP,ESP,2013.0,3400.0,3276.246732287031,0.17158165937929235,71.0
ESP,ESP,2014.0,3400.0,3174.7235942082516,0.3222974344176628,73.0
ESP,ESP,2015.0,3300.0,3161.819918096486,0.19849502020987847,75.0
EST,EST,2010.0,500.0,470.7447280926437,0.27714573483873733,34.0
EST,EST,2011.0,500.0,466.4397576330547,0.32080003048889894,40.0
EST,EST,2012.0,200.0,462.10733284011206,-2.5284503750315395,45.0
EST,EST,2013.0,200.0,181.45460529611964,0.44116749132834154,47.0
EST,EST,2014.0,200.0,180.68673585064695,0.46128580147397075,52.0
EST,EST,2015.0,200.0,180.43154151144634,0.4680078958862581,60.0
ETH,ETH,2010.0,26000.0,24457.055403382234,0.2873588608959582,33.0
ETH,ETH,2011.0,23000.0,23174.095676278575,-0.03421790536479728,40.0
ETH,ETH,2012.0,21000.0,20372.153587508594,0.14036472244631343,44.0
ETH,ETH,2013.0,18000.0,18359.94918637751,-0.08928674399975634,48.0
ETH,ETH,2014.0,17000.0,15640.754633595192,0.3957444006845813,56.0
ETH,ETH,2015.0,14000.0,14680.154655191109,-0.2109758894246564,60.0
FJI,FJI,2010.0,100.0,86.5030758946039,0.6384797525661112,58.0
FJI,FJI,2011.0,100.0,86.78230198067465,0.6234531522785344,51.0
FJI,FJI,2012.0,100.0,87.00354020907801,0.6116091110826181,62.0
FJI,FJI,2013.0,200.0,87.1910687995885,5.298431126581978,47.0
FJI,FJI,2014.0,200.0,172.2405173966211,0.693780212238507,41.0
FJI,FJI,2015.0,200.0,173.47171821623326,0.6585551923897197,32.0
FRA,FRA,2010.0,5100.0,4785.264052060563,0.2990631671102582,85.0
FRA,FRA,2011.0,4900.0,4862.309369067551,0.03524748810059221,86.0
FRA,FRA,2012.0,4500.0,4668.588180163586,-0.16418769160676175,86.0
FRA,FRA,2013.0,4300.0,4304.813846172245,-0.005083415794040079,87.0
FRA,FRA,2014.0,4200.0,4123.044949216984,0.084838095518965,88.0
FRA,FRA,2015.0,4200.0,4005.6833924305197,0.2204820674596769,90.0
GAB,GAB,2010.0,3200.0,3356.165157784122,-0.21138013809676898,23.0
GAB,GAB,2011.0,3100.0,3238.8972640253355,-0.19479218879945642,28.0
GAB,GAB,2012.0,2900.0,3106.589366126427,-0.3020231453817467,33.0
GAB,GAB,2013.0,2800.0,2878.1796685559857,-0.12333253242207506,38.0
GAB,GAB,2014.0,2700.0,2740.251780493343,-0.06668345251931541,40.0
GAB,GAB,2015.0,2600.0,2601.456430378003,-0.0025410283444536738,40.0
GEO,GEO,2010.0,500.0,457.9657859305201,0.4090756150826101,32.0
GEO,GEO,2011.0,500.0,453.423937168404,0.4577176928761655,37.0
GEO,GEO,2012.0,540.0,452.56014668482663,0.8609032260573078,48.0
GEO,GEO,2013.0,560.0,487.660062465535,0.6620166411130627,53.0
GEO,GEO,2014.0,590.0,502.9882716236793,0.7724997280488094,57.0
GEO,GEO,2015.0,600.0,526.9947983502549,0.6191821115489986,61.0
GHA,GHA,2010.0,22000.0,22144.13256793186,-0.0296457635986769,13.0
GHA,GHA,2011.0,21000.0,21045.29868394671,-0.00980345273007927,19.0
GHA,GHA,2012.0,21000.0,19855.957461487826,0.2624140518550503,22.0
GHA,GHA,2013.0,21000.0,19896.090664985175,0.25269803221791265,24.0
GHA,GHA,2014.0,21000.0,19637.138024641517,0.31608719466618596,26.0
GHA,GHA,2015.0,21000.0,19558.129866114585,0.3357616683620234,26.0
GIN,GIN,2010.0,9800.0,9479.78547360853,0.15375530591084943,19.0
GIN,GIN,2011.0,9200.0,9223.561090338684,-0.011627093466139077,21.0
GIN,GIN,2012.0,8900.0,8565.25892394229,0.17787111810618608,25.0
GIN,GIN,2013.0,8100.0,8232.94280845543,-0.07348953127334777,24.0
GIN,GIN,2014.0,9500.0,7485.067768252771,1.2249711406819896,27.0
